
Symbol,"Record Date",Action,"Dividend Amount",Ex-Date,"Payment Date"
EPLY9.5,2017-06-20,,.046900,2017-06-16,2017-06-30
JMMB7.25,2017-06-20,,.015400,2017-06-16,2017-06-30
EPLYSTP,2017-06-20,,.054300,2017-06-16,2017-06-30
JMMB7.5,2017-06-20,,.012700,2017-06-16,2017-06-30
EPLY8.25,2017-06-20,,.040700,2017-06-16,2017-06-30
SEP,2017-06-19,,.600000,2017-06-15,2017-07-14
JPS6,2017-06-15,,.030000,2017-06-13,2017-06-30
JPS5D,2017-06-15,,.025000,2017-06-13,2017-06-30
JPS5C,2017-06-15,,.025000,2017-06-13,2017-06-30
JPS7,2017-06-15,,.035000,2017-06-13,2017-06-30
JMMBGL,2017-06-09,,.230000,2017-06-07,2017-06-30
AFS,2017-06-09,,.320000,2017-06-07,2017-06-23
CAR,2017-06-09,,2.100000,2017-06-07,2017-06-28
Proven,2017-06-08,,.004200,2017-06-06,2017-06-22
ProvenJA,2017-06-08,,.546150,2017-06-06,2017-06-22
PROVEN8.25,2017-06-08,,.103125,2017-06-06,2017-06-15
KEX,2017-06-02,"Stock Split    ",,2017-05-31,
CFF,2017-06-02,,.250000,2017-05-31,2017-06-13
JMMBGL7.50,2017-05-30,,.006400,2017-05-26,2017-06-14
JMMB7.25,2017-05-30,,.009200,2017-05-26,2017-06-14
JMMBGL7.25,2017-05-30,,.009200,2017-05-26,2017-06-14
PJAM,2017-05-29,,.200000,2017-05-25,2017-06-22
SVL,2017-05-25,,.140000,2017-05-22,2017-05-31
KPREIT,2017-05-24,"Stock Split    ",,2017-05-19,
EPLY8.25,2017-05-19,,.044800,2017-05-17,2017-05-31
EPLY9.5,2017-05-19,,.048400,2017-05-17,2017-05-31
EPLYSTP,2017-05-19,,.056100,2017-05-17,2017-05-31
JMMB7.25,2017-05-19,,.015400,2017-05-17,2017-05-31
JMMB7.5,2017-05-19,,.012700,2017-05-17,2017-05-31
EPLY,2017-05-19,,.037200,2017-05-17,2017-06-02
HONBUN,2017-05-17,,.020000,2017-05-15,2017-06-01
NCBFG,2017-05-12,,.600000,2017-05-10,2017-05-29
JSE,2017-05-11,,.035600,2017-05-09,2017-05-31
DCOVE,2017-05-10,,.200000,2017-05-08,2017-05-30
1834,2017-05-05,,.080000,2017-05-03,2017-05-30
GK,2017-05-01,,.300000,2017-04-27,2017-05-18
JMMBGL7.50,2017-04-28,,.006200,2017-04-26,2017-05-12
JMMBGL7.25,2017-04-28,,.008900,2017-04-26,2017-05-12
JMMB7.25,2017-04-28,,.008900,2017-04-26,2017-05-14
SJ,2017-04-24,,.700000,2017-04-20,2017-05-05
EPLY9.5,2017-04-20,,.046900,2017-04-18,2017-04-28
JMMB7.5,2017-04-20,,.012700,2017-04-18,2017-04-28
EPLYSTP,2017-04-20,,.054300,2017-04-18,2017-04-28
EPLY8.25,2017-04-20,,.038000,2017-04-18,2017-04-28
JMMB7.25,2017-04-20,,.015400,2017-04-18,2017-04-28
JAMT,2017-04-19,"Stock Split    ",,2017-04-13,
KPREIT,2017-04-18,,.001240,2017-04-12,2017-05-09
JBG,2017-04-05,,.180000,2017-04-03,2017-04-26
JMMBGLUSD6.00,2017-03-31,,.014800,2017-03-29,2017-04-14
JMMBGLUSD5.75,2017-03-31,,.021300,2017-03-29,2017-04-14
JMMB7.25,2017-03-30,,.009200,2017-03-28,2017-04-14
JMMBGL7.25,2017-03-30,,.009200,2017-03-28,2017-04-14
JMMBGL7.50,2017-03-30,,.006400,2017-03-28,2017-04-14
DTL11.75,2017-03-29,,.058600,2017-03-27,2017-03-30
SIJL,2017-03-28,,.450000,2017-03-24,2017-04-19
SGJ,2017-03-28,,.450000,2017-03-24,2017-04-19
JMMB7.25,2017-03-20,,.015400,2017-03-16,2017-03-31
EPLY9.5,2017-03-20,,.048400,2017-03-16,2017-03-31
JMMB7.5,2017-03-20,,.012700,2017-03-16,2017-03-31
EPLYSTP,2017-03-20,,.056100,2017-03-16,2017-03-31
EPLY8.25,2017-03-20,,.042000,2017-03-16,2017-03-31
DCOVE,2017-03-16,,.200000,2017-03-14,2017-04-04
JPS7,2017-03-15,,.035000,2017-03-13,2017-03-31
JPS6,2017-03-15,,.030000,2017-03-13,2017-03-31
PJAM,2017-03-15,,.200000,2017-03-13,2017-03-30
JPS5C,2017-03-15,,.025000,2017-03-13,2017-03-31
JPS5D,2017-03-15,,.025000,2017-03-13,2017-03-31
SIL,2017-03-14,,.207300,2017-03-10,2017-03-28
SILUS,2017-03-14,,.001620,2017-03-10,2017-03-28
SVL,2017-03-13,,.090000,2017-03-09,2017-03-27
AMG,2017-03-10,"Stock Split    ",,2017-03-08,
JPS9.5,2017-03-10,,.236849,2017-03-08,2017-03-24
JMMBGL7.50,2017-02-28,,.006000,2017-02-24,2017-03-14
AMG,2017-02-28,,.420000,2017-02-24,2017-03-14
JMMBGL7.25,2017-02-28,,.008600,2017-02-24,2017-03-14
JMMB7.25,2017-02-28,,.008300,2017-02-24,2017-03-14
