
Symbol,"Record Date",Action,"Dividend Amount",Ex-Date,"Payment Date"
SELECTF,2019-11-04,,.011700,2019-11-01,2019-11-14
JMMB7.50,2019-11-01,,.002439,2019-10-31,2019-11-14
JMMBGL7.50,2019-10-30,,.002439,2019-10-29,2019-11-14
JMMBGL7.25,2019-10-30,,.003658,2019-10-29,2019-11-14
EPLY8.25,2019-10-18,,.042041,2019-10-17,2019-10-31
EPLY5.00,2019-10-18,,.004250,2019-10-17,2019-10-31
EPLY8.75,2019-10-18,,.044590,2019-10-17,2019-10-31
JMMB7.25C,2019-10-18,,.012315,2019-10-17,2019-11-06
JMMB7.50NC,2019-10-18,,.011890,2019-10-17,2019-11-06
EPLY7.50,2019-10-18,,.038220,2019-10-17,2019-10-31
JBG,2019-10-02,,.190000,2019-10-01,2019-10-31
SGJ,2019-10-01,,.510000,2019-09-30,2019-10-23
SGJ,2019-10-01,,.740000,2019-09-30,2019-10-23
JMMB7.50,2019-10-01,,.002607,2019-09-30,2019-10-14
JMMBUS6.00,2019-10-01,,.015123,2019-09-30,2019-10-14
JMMBGLUSD6.00,2019-09-30,,.015123,2019-09-27,2019-10-14
JMMBGLUSD5.75,2019-09-30,,.021739,2019-09-27,2019-10-14
JMMBGL7.50,2019-09-30,,.002607,2019-09-27,2019-10-14
JMMBGL7.25,2019-09-30,,.003911,2019-09-27,2019-10-14
SCIJMD,2019-09-30,,.002490,2019-09-27,2019-10-18
SCIUSD,2019-09-30,,.002490,2019-09-27,2019-10-18
EPLY8.25,2019-09-20,,.040684,2019-09-19,2019-09-30
EPLY5.00,2019-09-20,,.004110,2019-09-19,2019-09-30
EPLY8.75,2019-09-20,,.043150,2019-09-19,2019-09-30
JMMB7.25C,2019-09-20,,.011917,2019-09-19,2019-10-04
JMMB7.50NC,2019-09-20,,.011506,2019-09-19,2019-10-04
EPLY7.50,2019-09-20,,.036990,2019-09-19,2019-09-30
BIL,2019-09-19,,1.267000,2019-09-18,2019-10-07
CFF,2019-09-17,,.250000,2019-09-16,2019-09-24
MPCCEL,2019-09-16,,.089000,2019-09-13,2019-09-27
1834,2019-09-13,,.080000,2019-09-12,2019-10-04
JPS5C,2019-09-13,,.025000,2019-09-12,2019-10-01
JPS5D,2019-09-13,,.025000,2019-09-12,2019-10-01
JPS6,2019-09-13,,.030000,2019-09-12,2019-10-01
JPS7,2019-09-13,,.035000,2019-09-12,2019-10-01
GK,2019-09-06,,.400000,2019-09-05,2019-09-26
KREMI,2019-09-06,,.048000,2019-09-05,2019-09-20
KEX,2019-09-02,,.080000,2019-08-30,2019-09-18
EPLY,2019-08-30,,.037200,2019-08-29,2019-09-13
JMMBGL7.50,2019-08-30,,.002607,2019-08-29,2019-09-13
JMMBGL7.25,2019-08-30,,.003911,2019-08-29,2019-09-13
JMMB7.50,2019-08-30,,.002607,2019-08-29,2019-09-13
SIL,2019-08-28,,.030590,2019-08-27,2019-09-17
SILUS,2019-08-28,,.000234,2019-08-27,2019-09-17
PJAM,2019-08-27,,.265000,2019-08-26,2019-09-17
MDS,2019-08-26,,.110000,2019-08-23,2019-09-09
CHL,2019-08-23,,.120000,2019-08-22,2019-09-20
SVL,2019-08-22,,.220000,2019-08-21,2019-09-06
EPLY8.25,2019-08-20,,.042041,2019-08-19,2019-08-30
EPLY5.00,2019-08-20,,.004250,2019-08-19,2019-08-30
EPLY8.75,2019-08-20,,.044590,2019-08-19,2019-08-30
JMMBGL7.00NC,2019-08-20,,.011890,2019-08-19,2019-09-06
JMMB5.50NC,2019-08-20,,.027726,2019-08-19,2019-09-06
JMMB5.75C,2019-08-20,,.028986,2019-08-19,2019-09-06
JMMB7.25C,2019-08-20,,.012315,2019-08-19,2019-09-06
EPLY7.50,2019-08-20,,.038220,2019-08-19,2019-08-30
AFS,2019-08-13,,.290000,2019-08-12,2019-08-28
Proven,2019-08-13,,.002800,2019-08-12,2019-08-27
ProvenJA,2019-08-13,,.383200,2019-08-12,2019-08-27
NCBFG,2019-08-13,,.900000,2019-08-12,2019-08-27
WISYNCO,2019-08-13,,.100000,2019-08-12,2019-08-27
CAR,2019-08-12,,.180000,2019-08-09,2019-08-29
JPS9.5,2019-08-12,,.473698,2019-08-11,2019-08-16
JSE,2019-08-09,,.150000,2019-08-08,2019-08-30
SEP,2019-08-02,,.500000,2019-07-31,2019-08-30
JMMB7.50,2019-07-31,,.002523,2019-07-30,2019-08-14
JMMBGL7.50,2019-07-30,,.002523,2019-07-29,2019-08-14
JMMBGL7.25,2019-07-30,,.003784,2019-07-29,2019-08-14
BPOW,2019-07-25,,.020000,2019-07-24,2019-08-12
KW,2019-07-22,,.230000,2019-07-19,2019-08-19
EPLY8.25,2019-07-19,,.042041,2019-07-18,2019-07-31
EPLY5.00,2019-07-19,,.004250,2019-07-18,2019-07-31
EPLY8.75,2019-07-19,,.044590,2019-07-18,2019-07-31
JMMB7.25C,2019-07-19,,.012315,2019-07-18,2019-08-05
JMMB7.50NC,2019-07-19,,.011890,2019-07-18,2019-08-05
EPLY7.50,2019-07-19,,.038220,2019-07-18,2019-07-31
DCOVE,2019-07-17,,.200000,2019-07-16,2019-08-27
JETCON,2019-07-15,,.030000,2019-07-12,2019-08-15
LASD,2019-07-04,,.043000,2019-07-03,2019-07-18
MIL,2019-07-03,,.250000,2019-07-02,2019-07-25
SGJ,2019-07-02,,.510000,2019-07-01,2019-07-24
SGJ,2019-07-02,,1.940000,2019-07-01,2019-07-24
JMMB7.50,2019-07-01,,.002775,2019-06-28,2019-07-12
JMMBUS6.00,2019-07-01,,.015452,2019-06-28,2019-07-12
JMMBGLUSD6.00,2019-06-28,,.014958,2019-06-27,2019-07-12
JMMBGLUSD5.75,2019-06-28,,.021503,2019-06-27,2019-07-12
JMMBGL7.50,2019-06-28,,.002775,2019-06-27,2019-07-12
JMMBGL7.25,2019-06-28,,.004163,2019-06-27,2019-07-12
PBS9.75,2019-06-28,,.048000,2019-06-27,2019-07-30
HONBUN,2019-06-25,,.030000,2019-06-24,2019-07-09
LASM,2019-06-24,,.061100,2019-06-21,2019-06-28
JAMT,2019-06-21,,.030000,2019-06-20,2019-06-28
RJR,2019-06-21,,.020000,2019-06-20,2019-07-10
EPLY8.25,2019-06-20,,.040684,2019-06-19,2019-06-28
EPLY5.00,2019-06-20,,.004110,2019-06-19,2019-06-28
EPLY8.75,2019-06-20,,.043150,2019-06-19,2019-06-28
JMMB7.25C,2019-06-20,,.011917,2019-06-19,2019-07-05
JMMB7.50NC,2019-06-20,,.011506,2019-06-19,2019-07-05
EPLY7.50,2019-06-20,,.036990,2019-06-19,2019-06-28
CAC,2019-06-19,,.035000,2019-06-18,2019-07-16
JPS5C,2019-06-14,,.025000,2019-06-13,2019-07-01
JPS5D,2019-06-14,,.025000,2019-06-13,2019-07-01
JPS6,2019-06-14,,.030000,2019-06-13,2019-07-01
JPS7,2019-06-14,,.035000,2019-06-13,2019-07-01
Proven,2019-06-14,,.002100,2019-06-13,2019-06-28
ProvenJA,2019-06-14,,.280400,2019-06-13,2019-06-28
SML,2019-06-14,,.122700,2019-06-13,2019-06-28
JMMBGL,2019-06-13,,.280000,2019-06-12,2019-07-05
CAR,2019-06-07,,.140000,2019-06-06,2019-06-27
SALF,2019-05-31,,.450000,2019-05-30,2019-06-14
JMMB7.50,2019-05-31,,.002355,2019-05-30,2019-06-14
JMMBGL7.50,2019-05-30,,.002355,2019-05-29,2019-06-14
JMMBGL7.25,2019-05-30,,.003532,2019-05-29,2019-06-14
PJAM,2019-05-29,,.265000,2019-05-28,2019-06-19
VMIL,2019-05-29,,.030000,2019-05-28,2019-06-12
EPLY,2019-05-28,,.037200,2019-05-27,2019-06-11
TTECH,2019-05-28,,.065000,2019-05-27,2019-06-14
GK,2019-05-27,,.400000,2019-05-24,2019-06-14
EPLY8.25,2019-05-20,,.042041,2019-05-17,2019-05-31
EPLY5.00,2019-05-20,,.004250,2019-05-17,2019-05-31
EPLY8.75,2019-05-20,,.044590,2019-05-17,2019-05-31
JMMB5.50NC,2019-05-20,,.027726,2019-05-17,2019-06-06
JMMB5.75C,2019-05-20,,.028986,2019-05-17,2019-06-06
JMMB7.25C,2019-05-20,,.012315,2019-05-17,2019-06-06
JMMB7.50NC,2019-05-20,,.011890,2019-05-17,2019-06-06
EPLY7.50,2019-05-20,,.038220,2019-05-17,2019-05-31
BRG,2019-05-10,,.307000,2019-05-09,2019-05-28
SVL,2019-05-10,,.210000,2019-05-09,2019-05-24
NCBFG,2019-05-10,,.900000,2019-05-09,2019-05-27
PBS,2019-05-10,,.008110,2019-05-09,2019-05-27
JMMB7.50,2019-05-01,,.002607,2019-04-30,2019-05-14
JMMBGL7.50,2019-04-30,,.002607,2019-04-29,2019-05-14
JMMBGL7.25,2019-04-30,,.003911,2019-04-29,2019-05-14
SJ,2019-04-23,,.790000,2019-04-18,2019-05-09
EPLY8.25,2019-04-19,,.040684,2019-04-18,2019-04-30
EPLY5.00,2019-04-19,,.004110,2019-04-18,2019-04-30
EPLY8.75,2019-04-19,,.043150,2019-04-18,2019-04-30
JMMB7.25C,2019-04-19,,.011917,2019-04-18,2019-05-06
JMMB7.50NC,2019-04-19,,.011506,2019-04-18,2019-05-06
EPLY7.50,2019-04-19,,.036990,2019-04-18,2019-04-30
JPS9.5,2019-04-12,,.236849,2019-04-11,2019-04-18
JBG,2019-04-10,,.200000,2019-04-09,2019-04-30
SGJ,2019-04-03,,.510000,2019-04-02,2019-04-25
JMMB7.50,2019-04-01,,.002691,2019-03-29,2019-04-12
JMMBUS6.00,2019-04-01,,.014958,2019-03-29,2019-04-12
JMMBGLUSD6.00,2019-03-29,,.014794,2019-03-28,2019-04-12
JMMBGLUSD5.75,2019-03-29,,.021267,2019-03-28,2019-04-12
JMMBGL7.50,2019-03-29,,.002691,2019-03-28,2019-04-12
JMMBGL7.25,2019-03-29,,.004037,2019-03-28,2019-04-12
MJE,2019-03-27,,.065000,2019-03-26,2019-05-03
JSE,2019-03-26,,.250000,2019-03-25,2019-03-29
BIL,2019-03-22,,.820000,2019-03-21,2019-04-12
DCOVE,2019-03-20,,.200000,2019-03-19,2019-04-05
EPLY8.25,2019-03-20,,.042041,2019-03-19,2019-03-29
EPLY5.00,2019-03-20,,.004250,2019-03-19,2019-03-29
EPLY8.75,2019-03-20,,.044590,2019-03-19,2019-03-29
JMMB7.25C,2019-03-20,,.011917,2019-03-19,2019-04-05
JMMB7.50NC,2019-03-20,,.011506,2019-03-19,2019-04-05
EPLY7.50,2019-03-20,,.038220,2019-03-19,2019-03-29
KPREIT,2019-03-19,,.000620,2019-03-18,2019-04-05
PJAM,2019-03-18,,.265000,2019-03-15,2019-03-29
PULS,2019-03-18,,.018000,2019-03-15,2019-04-15
GK,2019-03-15,,.350000,2019-03-14,2019-04-04
JPS5C,2019-03-15,,.025000,2019-03-14,2019-04-01
JPS5D,2019-03-15,,.025000,2019-03-14,2019-04-01
JPS6,2019-03-15,,.030000,2019-03-14,2019-04-01
JPS7,2019-03-15,,.035000,2019-03-14,2019-04-01
SCIJMD,2019-03-11,,.001700,2019-03-08,2019-04-05
SCIUSD,2019-03-11,,.001735,2019-03-08,2019-04-05
CHL,2019-03-08,,.120000,2019-03-07,2019-03-29
SVL,2019-03-08,,.170000,2019-03-07,2019-03-22
SOS,2019-03-08,,.050000,2019-03-07,2019-03-21
SIL,2019-03-05,,.060300,2019-03-04,2019-03-20
SILUS,2019-03-05,,.000473,2019-03-04,2019-03-20
JMMB7.50,2019-03-01,,.002439,2019-02-28,2019-03-14
JMMBGL7.50,2019-02-28,,.002439,2019-02-27,2019-03-14
JMMBGL7.25,2019-02-28,,.003658,2019-02-27,2019-03-14
EPLY,2019-02-26,,.360000,2019-02-25,2019-03-13
Proven,2019-02-22,,.002400,2019-02-21,2019-03-08
ProvenJA,2019-02-22,,.324600,2019-02-21,2019-03-08
CAR,2019-02-21,,.180000,2019-02-20,2019-03-14
EPLY8.25,2019-02-20,,.037972,2019-02-19,2019-02-28
EPLY5.00,2019-02-20,,.003840,2019-02-19,2019-02-28
EPLY8.75,2019-02-20,,.041710,2019-02-19,2019-02-28
JMMB5.50NC,2019-02-20,,.027123,2019-02-19,2019-03-06
JMMB5.75C,2019-02-20,,.028356,2019-02-19,2019-03-06
JMMB7.25C,2019-02-20,,.011123,2019-02-19,2019-03-06
JMMB7.50NC,2019-02-20,,.010739,2019-02-19,2019-03-06
EPLY7.50,2019-02-20,,.034520,2019-02-19,2019-02-28
AFS,2019-02-13,,.480000,2019-02-12,2019-02-27
WISYNCO,2019-02-12,,.070000,2019-02-11,2019-02-26
NCBFG,2019-02-08,,.900000,2019-02-07,2019-02-22
INDIES,2019-02-06,,.080000,2019-02-05,2019-02-25
BIL,2019-02-05,"Right          ",,2019-02-04,
PAL,2019-01-31,,2.000000,2019-01-30,2019-02-08
JMMBGL7.50,2019-01-30,,.002355,2019-01-29,2019-02-14
JMMBGL7.25,2019-01-30,,.003532,2019-01-29,2019-02-14
MEEG,2019-01-30,,.060000,2019-01-29,2019-03-29
HONBUN,2019-01-18,,.030000,2019-01-17,2019-02-01
EPLY8.25,2019-01-18,,.042041,2019-01-17,2019-01-31
EPLY5.00,2019-01-18,,.004250,2019-01-17,2019-01-31
EPLY8.75,2019-01-18,,.044590,2019-01-17,2019-01-31
JMMB7.25C,2019-01-18,,.012315,2019-01-17,2019-02-06
JMMB7.50NC,2019-01-18,,.011890,2019-01-17,2019-02-06
EPLY7.50,2019-01-18,,.056710,2019-01-17,2019-01-31
BIL,2019-01-15,,.110000,2019-01-14,2019-01-24
