
Symbol,"Record Date",Action,"Dividend Amount",Ex-Date,"Payment Date"
EPLY8.25,2018-06-20,,.040680,2018-06-19,2018-06-29
EPLY5.00,2018-06-20,,.004110,2018-06-19,2018-06-29
EPLY8.75,2018-06-20,,.043150,2018-06-19,2018-06-29
JMMB7.25C,2018-06-20,,.012315,2018-06-19,2018-07-06
JMMB7.50NC,2018-06-20,,.011890,2018-06-19,2018-07-06
AFS,2018-06-15,,.400000,2018-06-14,2018-06-29
JPS5C,2018-06-15,,.025000,2018-06-14,2018-06-29
JPS5D,2018-06-15,,.025000,2018-06-14,2018-06-29
JPS6,2018-06-15,,.030000,2018-06-14,2018-06-29
JPS7,2018-06-15,,.035000,2018-06-14,2018-06-29
JAMT,2018-06-15,,.030000,2018-06-14,2018-06-28
ECL,2018-06-15,,.003664,2018-06-14,2018-09-25
CAR,2018-06-11,,.210000,2018-06-08,2018-06-28
HONBUN,2018-06-11,,.200000,2018-06-08,2018-06-25
Proven,2018-06-08,,.001200,2018-06-07,2018-06-26
ProvenJA,2018-06-08,,.151491,2018-06-07,2018-06-26
PROVEN8.25,2018-06-08,,.103125,2018-06-07,2018-06-15
JMMBGL,2018-06-07,,.270000,2018-06-06,2018-06-29
EPLY,2018-06-04,,.037200,2018-06-01,2018-06-18
KEY,2018-06-04,,.029000,2018-06-01,2018-07-20
SALF,2018-06-01,,.500000,2018-05-31,2018-06-18
DCOVE,2018-05-31,,.200000,2018-05-30,2018-06-19
JMMBGL7.50,2018-05-31,,.004790,2018-05-30,2018-06-14
JMMBGL7.25,2018-05-31,,.007185,2018-05-30,2018-06-14
PJAM,2018-05-28,,.250000,2018-05-25,2018-06-15
SOS,2018-05-22,,.040000,2018-05-21,2018-06-11
WISYNCO,2018-05-22,,.063000,2018-05-21,2018-05-29
JMMB5.50NC,2018-05-22,,.027726,2018-05-21,2018-06-06
JMMB5.75C,2018-05-22,,.028986,2018-05-21,2018-06-06
JMMB7.25,2018-05-18,,.015393,2018-05-17,2018-05-31
JMMB7.5,2018-05-18,,.012739,2018-05-17,2018-05-31
EPLY9.5,2018-05-18,,.048410,2018-05-17,2018-05-31
EPLY8.25,2018-05-18,,.042040,2018-05-17,2018-05-31
EPLY5.00,2018-05-18,,.004250,2018-05-17,2018-05-31
EPLY8.75,2018-05-18,,.044590,2018-05-17,2018-05-31
JMMB7.25C,2018-05-18,,.011917,2018-05-17,2018-06-06
JMMB7.50NC,2018-05-18,,.011506,2018-05-17,2018-06-06
SVL,2018-05-16,,.090000,2018-05-15,2018-06-01
SVL,2018-05-16,,.210000,2018-05-15,2018-06-01
BRG,2018-05-11,,.285000,2018-05-10,2018-05-28
NCBFG,2018-05-11,,.700000,2018-05-10,2018-05-28
KPREIT,2018-05-08,,.000600,2018-05-07,2018-05-29
GK,2018-05-01,,.400000,2018-04-30,2018-05-18
JMMBGL7.50,2018-04-30,,.004635,2018-04-27,2018-05-14
JMMBGL7.25,2018-04-30,,.006953,2018-04-27,2018-05-14
JMMB7.25,2018-04-20,,.015393,2018-04-19,2018-04-30
JMMB7.5,2018-04-20,,.012739,2018-04-19,2018-04-30
EPLY9.5,2018-04-20,,.046850,2018-04-19,2018-04-30
EPLY8.25,2018-04-20,,.040680,2018-04-19,2018-04-30
EPLY5.00,2018-04-20,,.004110,2018-04-19,2018-04-30
EPLY8.75,2018-04-20,,.043150,2018-04-19,2018-04-30
LASD,2018-04-13,,.117000,2018-04-12,2018-04-30
JBG,2018-04-06,,.170000,2018-04-05,2018-04-26
JSE,2018-04-06,,.135500,2018-04-05,2018-04-20
JMMBGLUSD6.00,2018-03-29,,.014794,2018-03-28,2018-04-13
JMMBGLUSD5.75,2018-03-29,,.021267,2018-03-28,2018-04-13
JMMBGL7.50,2018-03-29,,.004790,2018-03-28,2018-04-13
JMMBGL7.25,2018-03-29,,.007185,2018-03-28,2018-04-13
SGJ,2018-03-27,,.480000,2018-03-26,2018-04-18
SJ,2018-03-26,,.660000,2018-03-23,2018-04-17
JMMB7.25,2018-03-20,,.015393,2018-03-19,2018-03-29
JMMB7.5,2018-03-20,,.012739,2018-03-19,2018-03-29
EPLY9.5,2018-03-20,,.048410,2018-03-19,2018-03-29
EPLY8.25,2018-03-20,,.040680,2018-03-19,2018-03-29
EPLY5.00,2018-03-20,,.004250,2018-03-19,2018-03-29
EPLY8.75,2018-03-20,,.044590,2018-03-19,2018-03-29
JPS5C,2018-03-15,,.025000,2018-03-14,2018-03-29
JPS5D,2018-03-15,,.025000,2018-03-14,2018-03-29
JPS6,2018-03-15,,.030000,2018-03-14,2018-03-29
JPS7,2018-03-15,,.035000,2018-03-14,2018-03-29
PJAM,2018-03-15,,.250000,2018-03-14,2018-03-29
DCOVE,2018-03-13,,.200000,2018-03-12,2018-03-27
SVL,2018-03-09,,.080000,2018-03-08,2018-03-23
SVL,2018-03-09,,.120000,2018-03-08,2018-03-23
VMIL,2018-03-09,,.020000,2018-03-08,2018-03-23
PROVEN8.25,2018-03-08,,.103125,2018-03-07,2018-03-15
SIL,2018-03-02,,.352550,2018-03-01,2018-03-26
SILUS,2018-03-02,,.002820,2018-03-01,2018-03-26
CHL,2018-02-28,,.115000,2018-02-27,2018-03-23
JMMBGL7.50,2018-02-28,,.005753,2018-02-27,2018-03-14
JMMBGL7.25,2018-02-28,,.008342,2018-02-27,2018-03-14
EPLY,2018-02-27,,.164200,2018-02-26,2018-03-12
CAR,2018-02-23,,.200000,2018-02-22,2018-03-14
Proven,2018-02-20,,.001800,2018-02-19,2018-03-06
JMMB7.25,2018-02-20,,.015393,2018-02-19,2018-02-28
JMMB7.5,2018-02-20,,.012739,2018-02-19,2018-02-28
EPLY9.5,2018-02-20,,.043730,2018-02-19,2018-02-28
ProvenJA,2018-02-20,,.224800,2018-02-19,2018-03-06
EPLY8.25,2018-02-20,,.037970,2018-02-19,2018-02-28
CBNY,2018-02-16,,.340000,2018-02-15,2018-03-09
AFS,2018-02-12,,.170000,2018-02-09,2018-02-27
NCBFG,2018-02-09,,.700000,2018-02-08,2018-02-26
BIL,2018-02-02,,.300000,2018-02-01,2018-02-15
JMMBGL7.50,2018-01-30,,.006369,2018-01-29,2018-02-13
JMMBGL7.25,2018-01-30,,.009236,2018-01-29,2018-02-13
PULS,2018-01-23,,.015000,2018-01-22,2018-02-21
HONBUN,2018-01-04,,.020000,2018-01-03,2018-01-17
