Date,Open,High,Low,Close,Volume
2005-07-01,15,15,14.99,15,55950
2005-07-04,15,15.11,15,15,36431
2005-07-05,15,15.02,15,15,31282
2005-07-06,15,15,15,15,15500
2005-07-12,15,14.65,14.6,14.65,5460
2005-07-13,14.65,14.65,14.51,14.51,8086
2005-07-14,14.51,14.9,14.6,14.61,32919
2005-07-15,14.61,14.6,14.6,14.6,67410
2005-07-18,14.6,14.6,14.51,14.6,5400
2005-07-19,14.6,14.9,14.5,14.9,70014
2005-07-20,14.9,15,14.6,14.6,132515
2005-07-21,14.6,14.9,14.51,14.9,28500
2005-07-22,14.9,15,14.9,14.9,78350
2005-07-25,14.9,15,14.9,14.9,25300
2005-07-26,14.9,14.6,14.6,14.6,8086
2005-07-27,14.6,14.75,14.6,14.75,17559
2005-07-28,14.75,15,14.74,14.8,80921
2005-07-29,14.8,15,14.51,14.51,117954
2005-08-02,14.51,14.51,14.51,14.51,8525
2005-08-03,14.51,14.51,13.8,13.8,95924
2005-08-04,13.8,13.9,13.8,13.9,22325
2005-08-05,13.9,13.9,13.6,13.6,35707
2005-08-08,13.6,13.73,13.6,13.72,214925
2005-08-09,13.72,13.73,13.7,13.73,208138
2005-08-10,13.73,13.89,13.73,13.89,3575
2005-08-11,13.89,13.89,13.75,13.75,10000
2005-08-12,13.75,13.8,13.72,13.72,24055
2005-08-15,13.72,13.8,13.72,13.8,109082
2005-08-16,13.8,13.61,13.6,13.61,36250
2005-08-17,13.61,13.62,13.5,13.5,30733
2005-08-18,13.5,13.5,13.5,13.5,33550
2005-08-19,13.5,13.2,12.62,13,118079
2005-08-22,13,13.01,12.9,12.9,7280
2005-08-23,12.9,12.9,12.16,12.9,44145
2005-08-24,12.9,12.6,12.5,12.51,15379
2005-08-25,12.51,12.55,12.51,12.51,48483
2005-08-26,12.51,14.1,12.95,13.01,136961
2005-08-29,13.01,13.01,13.01,13.01,2000
2005-08-31,13.01,13.01,12.99,12.99,43033
2005-09-01,12.99,12.99,12.55,12.6,370700
2005-09-02,12.6,12.55,12.55,12.55,44868
2005-09-05,12.55,12.55,12.51,12.51,45440
2005-09-06,12.51,12.55,12.5,12.55,17549
2005-09-07,12.55,12.5,12,12,60561
2005-09-08,12,11.99,11.99,11.99,16436
2005-09-09,11.99,11.9,11,11,14000
2005-09-12,11,11.2,11,11.2,62904
2005-09-13,11.2,11.2,11.12,11.2,23750
2005-09-14,11.2,11.11,11,11,151062
2005-09-15,11,11,11,11,510219
2005-09-16,11,11.2,10.81,10.9,155347
2005-09-19,10.9,11,11,11,20000
2005-09-20,11,11.02,11,11,357850
2005-09-21,11,12,10.8,10.9,503000
2005-09-22,10.9,10.9,10.28,10.28,1385
2005-09-23,10.28,11.42,10.5,10.6,318625
2005-09-26,10.6,10.6,10.28,10.28,19000
2005-09-27,10.28,10.26,10.15,10.15,104893
2005-09-28,10.15,11.5,10.16,10.2,40920
2005-09-29,10.2,10.25,10.2,10.25,303500
2005-09-30,10.25,10.25,10.2,10.2,153300
2005-10-03,10.2,10.2,10.2,10.2,6049
2005-10-04,10.2,10.5,10.01,10.01,524684
2005-10-05,10.01,10.01,10,10,56059
2005-10-06,10,10.1,10.1,10.1,5750
2005-10-07,10.1,10.1,10.1,10.1,5750
2005-10-10,10.1,10.3,10.1,10.1,97512
2005-10-11,10.1,10.15,10,10.15,1685478
2005-10-12,10.15,10.5,10.01,10.01,26729
2005-10-13,10.01,10.1,10.01,10.1,1500
2005-10-14,10.1,10.1,10.1,10.1,6125
2005-10-18,10.1,10.1,10.01,10.01,8875
2005-10-19,10.01,10.01,10.01,10.01,200
2005-10-20,10.01,10.02,10.01,10.01,1300
2005-10-21,10.01,10.01,9.99,9.99,37071
2005-10-24,9.99,9.9,9.8,9.9,395750
2005-10-25,9.9,9.9,9.8,9.8,1252
2005-10-26,9.8,9.99,9.81,9.81,700
2005-10-27,9.81,9.81,9.8,9.81,10450
2005-10-28,9.81,9.81,9.8,9.81,30356
2005-10-31,9.81,9.8,9.79,9.8,10865
2005-11-01,9.8,9.81,9.8,9.8,581383
2005-11-02,9.8,9.81,9.8,9.8,3960
2005-11-03,9.8,9.8,9,9,593429
2005-11-04,9,9,9,9,6116
2005-11-07,9,9,9,9,641360
2005-11-08,9,9,9,9,30420
2005-11-09,9,9.02,9,9.02,127444
2005-11-10,9.02,9.02,9,9,50000
2005-11-11,9,8.99,8.99,8.99,1000
2005-11-15,8.99,8.7,8.65,8.65,10200
2005-11-16,8.65,8,7.67,7.7,52432
2005-11-17,7.7,7.81,7.7,7.81,13600
2005-11-18,7.81,7.8,7.8,7.8,324
2005-11-21,7.8,7.85,7.85,7.85,7199
2005-11-22,7.85,7.9,7.9,7.9,3000
2005-11-23,7.9,7.91,7.91,7.91,1908
2005-11-24,7.91,8.5,8,8.5,10000
2005-11-25,8.5,8.5,8.1,8.1,147472
2005-11-28,8.1,8.5,8.01,8.15,19351
2005-11-29,8.15,9,8.16,9,13875
2005-11-30,9,9,8.52,9,51686
2005-12-01,9,9.49,8.8,9.49,8847
2005-12-02,9.49,9.5,9.4,9.42,29365
2005-12-06,9.42,9.4,9.4,9.4,100
2005-12-07,9.4,9.4,8.56,9.4,8800
2005-12-08,9.4,9.05,9,9,29124
2005-12-09,9,9.4,9,9.4,635450
2005-12-12,9.4,9.5,9.4,9.4,22613
2005-12-13,9.4,9.4,9.4,9.4,43942
2005-12-14,9.4,10,9.41,9.41,104550
2005-12-15,9.41,9.48,9.48,9.48,1201
2005-12-19,9.48,9.51,9.51,9.51,1000
2005-12-20,9.51,9.75,9.5,9.75,110000
2005-12-21,9.75,9.75,9.5,9.75,31300
2005-12-22,9.75,9.74,9.74,9.74,300
2005-12-23,9.74,9.74,9.5,9.52,116596
2005-12-28,9.52,9.52,9.5,9.5,15648
2005-12-29,9.5,9.6,9.5,9.6,155339
2005-12-30,9.6,9.65,9.5,9.5,321360
2006-01-03,9.5,9.7,9.5,9.5,30591
2006-01-04,9.5,9.5,9.5,9.5,3000
2006-01-05,9.5,9.52,9.5,9.5,144709
2006-01-09,9.5,9.3,9,9,34500
2006-01-10,9,9,8.5,8.5,970629
2006-01-11,8.5,8.51,8.5,8.5,328387
2006-01-12,8.5,9.5,8.5,9.5,2736
2006-01-13,9.5,8.7,8.56,8.56,22501
2006-01-16,8.56,9,8.57,8.61,66309
2006-01-18,8.61,8.61,8.61,8.61,35300
2006-01-19,8.61,8.62,8.61,8.62,15998
2006-01-20,8.62,8.61,8.61,8.61,9303
2006-01-23,8.61,8.61,8.61,8.61,8359
2006-01-24,8.61,8.8,8.65,8.8,97899
2006-01-25,8.8,8.8,8.65,8.8,102701
2006-01-26,8.8,8.8,8.7,8.7,36390
2006-01-27,8.7,8.7,8.7,8.7,20731
2006-01-30,8.7,9,8.98,9,17685
2006-01-31,9,9,8.76,8.81,32900
2006-02-01,8.81,8.82,8.61,8.61,66686
2006-02-02,8.61,9,8.65,8.65,21000
2006-02-03,8.65,9,8.66,9,4500
2006-02-06,9,9,8.5,8.6,45175
2006-02-07,8.6,8.7,8.25,8.6,50529
2006-02-08,8.6,9,8.6,9,405956
2006-02-09,9,9,8.61,8.61,93667
2006-02-10,8.61,9,8.7,8.7,16100
2006-02-14,8.7,8.7,8.61,8.61,13111
2006-02-15,8.61,9,8.5,9,6500
2006-02-17,9,8.9,8.9,8.9,1069
2006-02-20,8.9,8.28,8.27,8.27,17439
2006-02-21,8.27,8.28,8.27,8.28,71866
2006-02-22,8.28,8.3,8.27,8.27,54889
2006-02-23,8.27,8.31,8.27,8.31,6075
2006-02-24,8.31,8.32,8.32,8.32,1000
2006-02-27,8.32,8.5,8.5,8.5,10064
2006-02-28,8.5,8.89,8.38,8.89,55136
2006-03-02,8.89,8.35,8,8,710781
2006-03-03,8,8,7.5,7.5,220836
2006-03-06,7.5,7.5,7.5,7.5,93929
2006-03-07,7.5,7.5,7.5,7.5,5468
2006-03-08,7.5,7.16,6.9,6.9,204850
2006-03-09,6.9,6,5.9,6,151285
2006-03-10,6,5.9,5.6,5.8,223141
2006-03-13,5.8,6.5,5.8,5.83,273867
2006-03-14,5.83,5.83,5.8,5.82,1210729
2006-03-15,5.82,5.75,4.95,5,1258908
2006-03-16,5,5,4.5,4.51,56900
2006-03-17,4.51,4.51,4.5,4.51,2183531
2006-03-20,4.51,4.51,4.15,4.15,956582
2006-03-21,4.15,4.5,4.15,4.16,167483
2006-03-22,4.16,4.2,4,4,1100283
2006-03-23,4,4,3.7,3.7,144802
2006-03-24,3.7,4.25,4,4.25,365499
2006-03-27,4.25,4.8,4.4,4.8,246641
2006-03-28,4.8,4.6,4.08,4.08,839413
2006-03-29,4.08,4.08,4,4.08,57882
2006-03-30,4.08,4.1,4,4,49845
2006-03-31,4,4.15,4.15,4.15,9950
2006-04-03,4.15,4.26,4.26,4.26,1500
2006-04-04,4.26,4.36,4.31,4.36,34009
2006-04-05,4.36,4.55,4.45,4.55,42186
2006-04-06,4.55,4.85,4.75,4.84,275070
2006-04-07,4.84,4.75,4.75,4.75,9260
2006-04-10,4.75,5,4.75,5,103144
2006-04-11,5,5.05,4.8,5,98918
2006-04-12,5,5.1,5,5.1,24441
2006-04-13,5.1,5.11,5.01,5.01,32737
2006-04-18,5.01,5.8,5.8,5.8,10000
2006-04-19,5.8,6.5,5.65,5.65,202775
2006-04-20,5.65,5.95,5.66,5.95,40931
2006-04-21,5.95,5.95,5.95,5.95,62345
2006-04-24,5.95,5.95,5.9,5.93,157450
2006-04-25,5.93,5.94,5.8,5.9,125888
2006-04-26,5.9,5.9,5.73,5.73,133389
2006-04-27,5.73,5.8,5.5,5.5,684776
